Symbol,NSAF_SpC_ratio,hESC_Ln_NSAF,hNSC_Ln_NSAF,t_test_p,color
NUDT1,0.78044956,-8.805191377,-8.557306211,0.293483337,gray
NUDT10,0.600476539,-10.49030332,-9.980271611,0.653411166,gray
NUDT11,0.344825627,-9.545668449,-8.480952029,0.007364703,blue
NUDT12,0.897082041,-11.42027657,-11.31166861,0.922416969,gray
NUDT15,0.681658591,-11.8144411,-11.43121475,,gray
NUDT16,0.515696076,-11.06948749,-10.40724981,0.372094509,gray
NUDT16L1,1.077599622,-9.762895664,-9.83763166,0.875216945,gray
NUDT19,0.681658218,-12.64150187,-12.25827497,,gray
NUDT2,0.507428979,-9.942251016,-9.263852495,0.50974785,gray
NUDT21,0.708216249,-7.439369891,-7.094364095,0.033827924,green
NUDT3,0.986294488,-9.133339158,-9.119538859,0.896645096,gray
NUDT4,0.999512807,-8.771380498,-8.770893186,0.998134351,gray
NUDT5,0.824197215,-7.633582041,-7.440236603,0.232995148,gray
NUDT9,5.403840894,-9.478555816,-11.16566579,0.009675813,red
NUF2,2.33124592,-11.39378177,-12.24018463,,gray
NUFIP2,1.0762973,-9.121293153,-9.194819878,0.732424716,gray
NUMA1,0.145710976,-11.0866622,-9.160531967,0.006127529,blue
NUMB,0.098532236,-13.42413244,-11.10676093,0.007614119,blue
NUMBL,0.369080559,-13.12639069,-12.12965034,,gray
NUP107,0.898529295,-11.31953352,-11.21253755,0.84938966,gray
NUP133,0.572173304,-10.92425432,-10.36594096,0.179980357,gray
NUP153,1.632186308,-10.90835738,-11.39827779,0.185709429,gray
NUP155,0.893364213,-9.298375188,-9.18561426,0.180529297,gray
NUP160,0.549782995,-12.4619781,-11.86374647,0.356884119,gray
NUP188,2.15280325,-12.01128742,-12.77805825,0.214797777,gray
NUP205,1.038991321,-10.71454582,-10.75279617,0.860818367,gray
NUP210,0.699953581,-9.800593991,-9.443852733,0.037558872,green
NUP210L,0.85883679,-14.02679828,-13.87462191,,gray
NUP214,0.770481009,-11.02874012,-10.76799984,0.435935346,gray
NUP35,1.412048384,-9.981444868,-10.32648627,0.257089459,gray
NUP37,1.208241532,-10.37251157,-10.56167759,0.782944828,gray
NUP43,0.671483781,-10.00188601,-9.603620593,0.147864504,gray
NUP50,0.480035311,-9.587830644,-8.85393503,0.202134346,gray
NUP54,0.843430462,-9.951160294,-9.780882474,0.371834345,gray
NUP62,0.346302627,-11.30202987,-10.24158762,0.0128329,blue
NUP85,0.446506387,-12.71508349,-11.90878192,,gray
NUP88,1.165621337,-11.55646757,-11.70972185,0.836080221,gray
NUP93,1.381745258,-8.689034703,-9.012382083,0.002524997,green
NUP98,0.846396768,-13.47770612,-13.31093908,,gray
NUPL1,1.082066551,-11.72354065,-11.80241334,0.863840726,gray
NUS1,1.527393426,-11.02996615,-11.45352879,0.295927149,gray
NUSAP1,1.252785046,-10.42145637,-10.64682548,0.089156649,gray
NUTF2,0.848050651,-7.008338021,-6.843523106,0.455153167,gray
NVL,0.344407046,-11.39685661,-10.33092556,0.024122892,blue
NXF1,1.025368481,-10.850099,-10.87515104,0.942165726,gray
NXN,0.874812775,-8.825959126,-8.692213739,0.567031054,gray
NYNRIN,0.058558924,-14.05859524,-11.22087345,0.002897186,blue
OAT,2.913506779,-7.247896024,-8.317253459,0.000313198,red
OBFC2B,0.780305009,-11.94735706,-11.69928666,,gray
OBSCN,0.651823943,-14.23237907,-13.80439829,0.662075407,gray
